Moderately satisfied,8119
Extremely satisfied,3744
NA,3577
Slightly satisfied,3111
Slightly dissatisfied,2316
Moderately dissatisfied,2050
Neither satisfied nor dissatisfied,1459
Extremely dissatisfied,700
